# x	y	u	v	flags	mask
6.2900e+00	1.1950e+01	3.0082e+00	2.2389e-01	0.0000e+00	0.0000e+00
6.5000e+00	1.1950e+01	3.1411e+00	2.9006e-01	0.0000e+00	0.0000e+00
6.7100e+00	1.1950e+01	3.0633e+00	3.8957e-01	0.0000e+00	0.0000e+00
6.9200e+00	1.1950e+01	3.0449e+00	3.2169e-01	0.0000e+00	0.0000e+00
7.1300e+00	1.1950e+01	3.0170e+00	2.3302e-01	0.0000e+00	0.0000e+00
7.3400e+00	1.1950e+01	3.1470e+00	3.1658e-01	1.0000e+00	0.0000e+00
7.5500e+00	1.1950e+01	3.1433e+00	1.2343e-01	0.0000e+00	0.0000e+00
7.7600e+00	1.1950e+01	3.1970e+00	4.1858e-01	0.0000e+00	0.0000e+00
7.9700e+00	1.1950e+01	3.1381e+00	3.0637e-01	0.0000e+00	0.0000e+00
8.1800e+00	1.1950e+01	3.1792e+00	3.3649e-01	0.0000e+00	0.0000e+00
8.3900e+00	1.1950e+01	3.0874e+00	1.8704e-01	0.0000e+00	0.0000e+00
8.6000e+00	1.1950e+01	3.1427e+00	6.4831e-02	0.0000e+00	0.0000e+00
8.8100e+00	1.1950e+01	3.1956e+00	7.0994e-02	0.0000e+00	0.0000e+00
9.0200e+00	1.1950e+01	3.1962e+00	1.1094e-02	0.0000e+00	0.0000e+00
9.2300e+00	1.1950e+01	3.2826e+00	2.4883e-01	0.0000e+00	0.0000e+00
9.4400e+00	1.1950e+01	3.3979e+00	3.1301e-01	0.0000e+00	0.0000e+00
9.6500e+00	1.1950e+01	3.2763e+00	2.1767e-01	0.0000e+00	0.0000e+00
9.8600e+00	1.1950e+01	3.1247e+00	3.8963e-01	1.0000e+00	0.0000e+00
1.0070e+01	1.1950e+01	3.1323e+00	3.6997e-01	1.0000e+00	0.0000e+00
1.0280e+01	1.1950e+01	3.1403e+00	3.5293e-01	1.0000e+00	0.0000e+00
1.0490e+01	1.1950e+01	3.3738e+00	1.0925e-01	0.0000e+00	0.0000e+00
1.0700e+01	1.1950e+01	3.3644e+00	9.6545e-02	0.0000e+00	0.0000e+00
1.0910e+01	1.1950e+01	3.2722e+00	1.1067e-01	0.0000e+00	0.0000e+00
1.1120e+01	1.1950e+01	3.3693e+00	4.9329e-02	0.0000e+00	0.0000e+00
1.1330e+01	1.1950e+01	3.4103e+00	3.5537e-02	0.0000e+00	0.0000e+00
1.1540e+01	1.1950e+01	3.4252e+00	5.4371e-03	0.0000e+00	0.0000e+00
1.1750e+01	1.1950e+01	3.3745e+00	5.0618e-02	0.0000e+00	0.0000e+00
1.1960e+01	1.1950e+01	3.4365e+00	4.8012e-02	0.0000e+00	0.0000e+00
1.2170e+01	1.1950e+01	3.4077e+00	-2.0218e-04	0.0000e+00	0.0000e+00
1.2380e+01	1.1950e+01	3.4258e+00	-6.4841e-02	0.0000e+00	0.0000e+00
1.2590e+01	1.1950e+01	3.3843e+00	1.6388e-02	0.0000e+00	0.0000e+00
1.2800e+01	1.1950e+01	3.4438e+00	-5.2275e-02	0.0000e+00	0.0000e+00
1.3010e+01	1.1950e+01	3.3994e+00	-5.8999e-02	1.0000e+00	0.0000e+00
1.3220e+01	1.1950e+01	3.3892e+00	-1.6191e-02	0.0000e+00	0.0000e+00
1.3430e+01	1.1950e+01	3.3837e+00	-9.9551e-02	0.0000e+00	0.0000e+00
1.3640e+01	1.1950e+01	3.3431e+00	-5.0718e-02	0.0000e+00	0.0000e+00
1.3850e+01	1.1950e+01	3.2897e+00	-5.7333e-02	0.0000e+00	0.0000e+00
1.4060e+01	1.1950e+01	3.3894e+00	-5.8596e-02	0.0000e+00	0.0000e+00
1.4270e+01	1.1950e+01	3.3123e+00	-4.8334e-02	0.0000e+00	0.0000e+00
1.4480e+01	1.1950e+01	3.2759e+00	-2.8542e-02	0.0000e+00	0.0000e+00
1.4690e+01	1.1950e+01	3.2120e+00	-1.4131e-01	0.0000e+00	0.0000e+00
1.4900e+01	1.1950e+01	3.2675e+00	-8.0188e-02	0.0000e+00	0.0000e+00
1.5110e+01	1.1950e+01	2.9949e+00	-3.1471e-01	0.0000e+00	0.0000e+00
1.5320e+01	1.1950e+01	2.9851e+00	-3.5287e-01	0.0000e+00	0.0000e+00
1.5530e+01	1.1950e+01	3.2105e+00	-1.8803e-01	0.0000e+00	0.0000e+00
1.5740e+01	1.1950e+01	3.2229e+00	-2.4185e-01	0.0000e+00	0.0000e+00
1.5950e+01	1.1950e+01	3.1444e+00	-1.8113e-01	0.0000e+00	0.0000e+00
2.0000e-01	1.1740e+01	2.8784e+00	6.1623e-02	0.0000e+00	0.0000e+00
4.1000e-01	1.1740e+01	2.8796e+00	3.4912e-02	0.0000e+00	0.0000e+00
6.2000e-01	1.1740e+01	2.8935e+00	-2.3800e-02	0.0000e+00	0.0000e+00
8.3000e-01	1.1740e+01	2.9007e+00	7.9888e-02	0.0000e+00	0.0000e+00
1.0400e+00	1.1740e+01	2.8895e+00	7.9173e-02	0.0000e+00	0.0000e+00
1.2500e+00	1.1740e+01	2.8967e+00	7.6389e-02	0.0000e+00	0.0000e+00
1.4600e+00	1.1740e+01	2.9008e+00	9.1885e-02	0.0000e+00	0.0000e+00
1.6700e+00	1.1740e+01	-2.4589e+00	4.6020e+00	0.0000e+00	0.0000e+00
1.8800e+00	1.1740e+01	1.5164e+00	2.1828e-01	1.0000e+00	0.0000e+00
2.0900e+00	1.1740e+01	1.2095e+00	-1.9860e-01	1.0000e+00	0.0000e+00
2.3000e+00	1.1740e+01	1.0132e+00	-4.3747e-01	1.0000e+00	0.0000e+00
2.5100e+00	1.1740e+01	8.1521e-01	-1.0157e+00	1.0000e+00	0.0000e+00
2.7200e+00	1.1740e+01	9.3318e-01	-1.1431e+00	1.0000e+00	0.0000e+00
2.9300e+00	1.1740e+01	1.0686e+00	-1.2304e+00	1.0000e+00	0.0000e+00
3.1400e+00	1.1740e+01	3.3983e-02	-7.6296e+00	0.0000e+00	0.0000e+00
3.3500e+00	1.1740e+01	1.9705e+00	-1.0396e+00	1.0000e+00	0.0000e+00
3.5600e+00	1.1740e+01	2.9444e+00	3.5558e-01	0.0000e+00	0.0000e+00
3.7700e+00	1.1740e+01	2.9458e+00	3.6397e-01	0.0000e+00	0.0000e+00
3.9800e+00	1.1740e+01	2.9375e+00	3.8938e-01	0.0000e+00	0.0000e+00
4.1900e+00	1.1740e+01	2.9761e+00	3.5652e-01	0.0000e+00	0.0000e+00
4.4000e+00	1.1740e+01	3.0073e+00	3.6356e-01	0.0000e+00	0.0000e+00
4.6100e+00	1.1740e+01	3.0292e+00	2.3088e-01	0.0000e+00	0.0000e+00
4.8200e+00	1.1740e+01	2.9326e+00	3.5168e-01	0.0000e+00	0.0000e+00
5.0300e+00	1.1740e+01	2.9332e+00	3.0658e-01	0.0000e+00	0.0000e+00
5.2400e+00	1.1740e+01	2.9864e+00	3.0092e-01	0.0000e+00	0.0000e+00
5.4500e+00	1.1740e+01	3.0015e+00	3.8714e-01	0.0000e+00	0.0000e+00
5.6600e+00	1.1740e+01	2.9884e+00	3.4414e-01	0.0000e+00	0.0000e+00
5.8700e+00	1.1740e+01	2.9976e+00	3.3370e-01	0.0000e+00	0.0000e+00
6.0800e+00	1.1740e+01	3.0560e+00	2.7805e-01	0.0000e+00	0.0000e+00
6.2900e+00	1.1740e+01	3.1486e+00	3.3508e-01	0.0000e+00	0.0000e+00
6.5000e+00	1.1740e+01	3.0901e+00	3.4422e-01	0.0000e+00	0.0000e+00
6.7100e+00	1.1740e+01	3.0946e+00	3.6038e-01	0.0000e+00	0.0000e+00
6.9200e+00	1.1740e+01	3.0419e+00	3.6228e-01	0.0000e+00	0.0000e+00
7.1300e+00	1.1740e+01	3.1110e+00	1.9240e-01	0.0000e+00	0.0000e+00
7.3400e+00	1.1740e+01	3.2255e+00	3.4173e-01	0.0000e+00	0.0000e+00
7.5500e+00	1.1740e+01	3.1579e+00	3.0399e-01	1.0000e+00	0.0000e+00
7.7600e+00	1.1740e+01	3.3285e+00	3.5225e-01	0.0000e+00	0.0000e+00
7.9700e+00	1.1740e+01	3.1991e+00	2.7325e-01	0.0000e+00	0.0000e+00
8.1800e+00	1.1740e+01	3.1361e+00	1.4289e-01	0.0000e+00	0.0000e+00
8.3900e+00	1.1740e+01	3.2030e+00	2.1176e-01	0.0000e+00	0.0000e+00
8.6000e+00	1.1740e+01	3.2246e+00	1.4159e-01	0.0000e+00	0.0000e+00
8.8100e+00	1.1740e+01	3.1382e+00	1.1212e-01	0.0000e+00	0.0000e+00
9.0200e+00	1.1740e+01	3.2948e+00	2.3171e-01	0.0000e+00	0.0000e+00
9.2300e+00	1.1740e+01	3.3475e+00	1.2376e-01	0.0000e+00	0.0000e+00
9.4400e+00	1.1740e+01	3.2236e+00	1.0336e-01	0.0000e+00	0.0000e+00
9.6500e+00	1.1740e+01	3.3193e+00	2.1228e-01	0.0000e+00	0.0000e+00
9.8600e+00	1.1740e+01	3.1541e+00	3.6554e-01	1.0000e+00	0.0000e+00
1.0070e+01	1.1740e+01	3.1618e+00	3.4486e-01	1.0000e+00	0.0000e+00
1.0280e+01	1.1740e+01	3.1690e+00	3.2535e-01	1.0000e+00	0.0000e+00
1.0490e+01	1.1740e+01	3.3253e+00	1.7370e-01	0.0000e+00	0.0000e+00
1.0700e+01	1.1740e+01	3.4100e+00	9.2089e-02	0.0000e+00	0.0000e+00
1.0910e+01	1.1740e+01	3.3557e+00	7.1159e-02	0.0000e+00	0.0000e+00
1.1120e+01	1.1740e+01	3.4107e+00	1.0790e-01	0.0000e+00	0.0000e+00
1.1330e+01	1.1740e+01	3.3872e+00	7.8431e-02	0.0000e+00	0.0000e+00
1.1540e+01	1.1740e+01	3.3915e+00	1.7971e-02	0.0000e+00	0.0000e+00
1.1750e+01	1.1740e+01	3.3832e+00	1.3077e-02	0.0000e+00	0.0000e+00
1.1960e+01	1.1740e+01	3.4185e+00	8.4590e-03	1.0000e+00	0.0000e+00
1.2170e+01	1.1740e+01	3.3894e+00	-2.2199e-02	0.0000e+00	0.0000e+00
1.2380e+01	1.1740e+01	3.4211e+00	-4.0858e-02	0.0000e+00	0.0000e+00
1.2590e+01	1.1740e+01	3.4016e+00	-8.5920e-04	0.0000e+00	0.0000e+00
1.2800e+01	1.1740e+01	3.4163e+00	-5.3449e-02	1.0000e+00	0.0000e+00
1.3010e+01	1.1740e+01	3.3703e+00	-6.8846e-02	0.0000e+00	0.0000e+00
1.3220e+01	1.1740e+01	3.3378e+00	-7.9682e-02	0.0000e+00	0.0000e+00
1.3430e+01	1.1740e+01	3.3524e+00	-7.6707e-02	0.0000e+00	0.0000e+00
1.3640e+01	1.1740e+01	3.4098e+00	-8.1977e-02	0.0000e+00	0.0000e+00
1.3850e+01	1.1740e+01	3.3250e+00	-1.0583e-01	0.0000e+00	0.0000e+00
1.4060e+01	1.1740e+01	3.3822e+00	-1.1302e-01	0.0000e+00	0.0000e+00
1.4270e+01	1.1740e+01	3.3145e+00	-7.9875e-02	0.0000e+00	0.0000e+00
1.4480e+01	1.1740e+01	3.2874e+00	-7.1347e-03	0.0000e+00	0.0000e+00
1.4690e+01	1.1740e+01	3.2379e+00	-1.1489e-01	0.0000e+00	0.0000e+00
1.4900e+01	1.1740e+01	3.3104e+00	-4.5425e-02	0.0000e+00	0.0000e+00
1.5110e+01	1.1740e+01	3.1355e+00	-2.3577e-01	1.0000e+00	0.0000e+00
1.5320e+01	1.1740e+01	3.1323e+00	-2.3874e-01	0.0000e+00	0.0000e+00
1.5530e+01	1.1740e+01	3.2271e+00	-2.3176e-01	0.0000e+00	0.0000e+00
1.5740e+01	1.1740e+01	3.1268e+00	-1.9121e-01	0.0000e+00	0.0000e+00
1.5950e+01	1.1740e+01	3.1652e+00	-1.9079e-01	0.0000e+00	0.0000e+00
2.0000e-01	1.1530e+01	2.8880e+00	3.5259e-02	1.0000e+00	0.0000e+00
4.1000e-01	1.1530e+01	2.9283e+00	4.6305e-02	0.0000e+00	0.0000e+00
6.2000e-01	1.1530e+01	2.8934e+00	3.6271e-02	0.0000e+00	0.0000e+00
8.3000e-01	1.1530e+01	2.9257e+00	5.1014e-02	0.0000e+00	0.0000e+00
1.0400e+00	1.1530e+01	2.8657e+00	7.0337e-02	0.0000e+00	0.0000e+00
1.2500e+00	1.1530e+01	2.9280e+00	5.8616e-02	0.0000e+00	0.0000e+00
1.4600e+00	1.1530e+01	2.8988e+00	-4.4736e-03	0.0000e+00	0.0000e+00
1.6700e+00	1.1530e+01	1.9549e+00	6.1254e-01	1.0000e+00	0.0000e+00
1.8800e+00	1.1530e+01	1.4820e+00	2.4793e-01	1.0000e+00	0.0000e+00
2.0900e+00	1.1530e+01	1.1809e+00	-1.5117e-01	1.0000e+00	0.0000e+00
2.3000e+00	1.1530e+01	9.8925e-01	-3.7984e-01	1.0000e+00	0.0000e+00
2.5100e+00	1.1530e+01	8.0954e-01	-8.8420e-01	1.0000e+00	0.0000e+00
2.7200e+00	1.1530e+01	9.9771e-01	-1.0691e+00	1.0000e+00	0.0000e+00
2.9300e+00	1.1530e+01	1.1389e+00	-1.1401e+00	1.0000e+00	0.0000e+00
3.1400e+00	1.1530e+01	5.7998e-02	-4.8593e-01	0.0000e+00	0.0000e+00
3.3500e+00	1.1530e+01	2.9308e+00	1.9316e-01	0.0000e+00	0.0000e+00
3.5600e+00	1.1530e+01	2.3508e+00	-5.0009e-01	1.0000e+00	0.0000e+00
3.7700e+00	1.1530e+01	2.9219e+00	3.1488e-01	0.0000e+00	0.0000e+00
3.9800e+00	1.1530e+01	2.9788e+00	3.5416e-01	0.0000e+00	0.0000e+00
4.1900e+00	1.1530e+01	2.9626e+00	3.6432e-01	0.0000e+00	0.0000e+00
4.4000e+00	1.1530e+01	2.9445e+00	3.5217e-01	0.0000e+00	0.0000e+00
4.6100e+00	1.1530e+01	2.9871e+00	3.2614e-01	1.0000e+00	0.0000e+00
4.8200e+00	1.1530e+01	2.9862e+00	3.5191e-01	0.0000e+00	0.0000e+00
5.0300e+00	1.1530e+01	2.9719e+00	3.8899e-01	0.0000e+00	0.0000e+00
5.2400e+00	1.1530e+01	3.0081e+00	3.5831e-01	0.0000e+00	0.0000e+00
5.4500e+00	1.1530e+01	3.0297e+00	4.0850e-01	0.0000e+00	0.0000e+00
5.6600e+00	1.1530e+01	3.0353e+00	3.3717e-01	0.0000e+00	0.0000e+00
5.8700e+00	1.1530e+01	3.0178e+00	3.0034e-01	0.0000e+00	0.0000e+00
6.0800e+00	1.1530e+01	3.0810e+00	2.6937e-01	0.0000e+00	0.0000e+00
6.2900e+00	1.1530e+01	3.0600e+00	3.3261e-01	1.0000e+00	0.0000e+00
6.5000e+00	1.1530e+01	3.0710e+00	3.5577e-01	0.0000e+00	0.0000e+00
6.7100e+00	1.1530e+01	3.1056e+00	3.1958e-01	0.0000e+00	0.0000e+00
6.9200e+00	1.1530e+01	3.0475e+00	2.4862e-01	0.0000e+00	0.0000e+00
7.1300e+00	1.1530e+01	3.0351e+00	2.1454e-01	0.0000e+00	0.0000e+00
7.3400e+00	1.1530e+01	3.2580e+00	4.5857e-01	0.0000e+00	0.0000e+00
7.5500e+00	1.1530e+01	3.1628e+00	2.8891e-01	0.0000e+00	0.0000e+00
7.7600e+00	1.1530e+01	3.2217e+00	3.3461e-01	0.0000e+00	0.0000e+00
7.9700e+00	1.1530e+01	3.2776e+00	3.8770e-01	0.0000e+00	0.0000e+00
8.1800e+00	1.1530e+01	3.1586e+00	1.1989e-01	0.0000e+00	0.0000e+00
8.3900e+00	1.1530e+01	3.3329e+00	3.4168e-01	0.0000e+00	0.0000e+00
8.6000e+00	1.1530e+01	3.3130e+00	3.2513e-01	0.0000e+00	0.0000e+00
8.8100e+00	1.1530e+01	3.1463e+00	1.6188e-01	0.0000e+00	0.0000e+00
9.0200e+00	1.1530e+01	3.3360e+00	3.0918e-01	0.0000e+00	0.0000e+00
9.2300e+00	1.1530e+01	3.3763e+00	9.7383e-02	0.0000e+00	0.0000e+00
9.4400e+00	1.1530e+01	3.3227e+00	1.7403e-01	0.0000e+00	0.0000e+00
9.6500e+00	1.1530e+01	3.2911e+00	2.0381e-01	0.0000e+00	0.0000e+00
9.8600e+00	1.1530e+01	2.5669e+00	6.0205e+00	0.0000e+00	0.0000e+00
1.0070e+01	1.1530e+01	3.1916e+00	3.2381e-01	1.0000e+00	0.0000e+00
1.0280e+01	1.1530e+01	3.1995e+00	3.0261e-01	1.0000e+00	0.0000e+00
1.0490e+01	1.1530e+01	3.3690e+00	6.2142e-02	0.0000e+00	0.0000e+00
1.0700e+01	1.1530e+01	3.4489e+00	1.0881e-01	0.0000e+00	0.0000e+00
1.0910e+01	1.1530e+01	3.3801e+00	1.0140e-01	0.0000e+00	0.0000e+00
1.1120e+01	1.1530e+01	3.4495e+00	5.2287e-02	0.0000e+00	0.0000e+00
1.1330e+01	1.1530e+01	3.4524e+00	4.7685e-02	0.0000e+00	0.0000e+00
1.1540e+01	1.1530e+01	3.4086e+00	7.4743e-02	0.0000e+00	0.0000e+00
1.1750e+01	1.1530e+01	3.3494e+00	6.1816e-02	0.0000e+00	0.0000e+00
1.1960e+01	1.1530e+01	3.4095e+00	4.7486e-02	0.0000e+00	0.0000e+00
1.2170e+01	1.1530e+01	3.4106e+00	-2.7963e-02	0.0000e+00	0.0000e+00
1.2380e+01	1.1530e+01	3.4717e+00	-1.8424e-02	0.0000e+00	0.0000e+00
1.2590e+01	1.1530e+01	3.4206e+00	-4.7732e-02	0.0000e+00	0.0000e+00
